("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9161734607166666e+14 1.5790055599062094e-04 7.5775378298575760e+00
1.9174225959583334e+14 1.5643155977653150e-04 7.7185650353060851e+00
1.9186717312000000e+14 1.5516685190952267e-04 7.8599977667828229e+00
1.9199208664416666e+14 1.5409825844633901e-04 8.0019136615989712e+00
1.9211700016833334e+14 1.5321595014703438e-04 8.1443833360298257e+00
1.9224191369250000e+14 1.5250857771360743e-04 8.2874693964339663e+00
1.9236682721666666e+14 1.5196341809346281e-04 8.4312257680066995e+00
1.9249174074083334e+14 1.5155412595885414e-04 8.5756519256838750e+00
1.9261665426500000e+14 1.5127679182382568e-04 8.7208448890688786e+00
1.9274156778916666e+14 1.5111590483813211e-04 8.8668331729821155e+00
1.9286648131333334e+14 1.5105524059612921e-04 9.0136366886249686e+00
1.9299139483750000e+14 1.5107801236716604e-04 9.1612674958931954e+00
1.9311630836166666e+14 1.5116701899311043e-04 9.3097307259769799e+00
1.9324122188583331e+14 1.5130478915336901e-04 9.4590256168893525e+00
1.9336613541000000e+14 1.5147372199760220e-04 9.6091466072226535e+00
1.9349104893416666e+14 1.5165622429489856e-04 9.7600844391448014e+00
1.9361596245833331e+14 1.5183484426056703e-04 9.9118272293487628e+00
1.9374087598250000e+14 1.5198042202208358e-04 1.0064399775944022e+01
1.9386578950666666e+14 1.5208968210907165e-04 1.0217763820369791e+01
1.9399070303083331e+14 1.5214673502318731e-04 1.0371903503779045e+01
1.9411561655500000e+14 1.5213629137468163e-04 1.0526803479550718e+01
1.9424053007916666e+14 1.5204376789901101e-04 1.0682449544265282e+01
1.9436544360333331e+14 1.5185538846009013e-04 1.0838829158707345e+01
1.9449035712750000e+14 1.5155827913009086e-04 1.0995931864170434e+01
1.9461527065166666e+14 1.5114055630966112e-04 1.1153749602018486e+01
1.9474018417583331e+14 1.5059140677801171e-04 1.1312276946163369e+01
1.9486509770000000e+14 1.4990115854030060e-04 1.1471511259018246e+01
1.9499001122416666e+14 1.4906096991510950e-04 1.1631525712786669e+01
1.9511492474833331e+14 1.4806661513732305e-04 1.1792248344074816e+01
1.9523983827250000e+14 1.4691206862296594e-04 1.1953682410953409e+01
1.9536475179666666e+14 1.4559254870360897e-04 1.2115834052534813e+01
1.9548966532083331e+14 1.4410453093724167e-04 1.2278712250636289e+01
1.9561457884500000e+14 1.4244574873166895e-04 1.2442328771937808e+01
1.9573949236916666e+14 1.4061518097978925e-04 1.2606698098843591e+01
1.9586440589333331e+14 1.3861302660527790e-04 1.2771837357071281e+01
1.9598931941750000e+14 1.3644066612775684e-04 1.2937766248082006e+01
1.9611423294166666e+14 1.3410061057568006e-04 1.3104506994903216e+01
1.9623914646583331e+14 1.3160555804792324e-04 1.3272105466512473e+01
1.9636405999000000e+14 1.2895163345757809e-04 1.3440549533475020e+01
1.9648897351416666e+14 1.2614388497402307e-04 1.3609867216120314e+01
1.9661388703833331e+14 1.2318816631582519e-04 1.3780089446322663e+01
1.9673880056250000e+14 1.2009104563083066e-04 1.3951250289375105e+01
1.9686371408666666e+14 1.1685970863210918e-04 1.4123387272847602e+01
1.9698862761083331e+14 1.1350185777329216e-04 1.4296541854020903e+01
1.9711354113500000e+14 1.1002560949684373e-04 1.4470760066489644e+01
1.9723845465916666e+14 1.0643939184987522e-04 1.4646093398553138e+01
1.9736336818333331e+14 1.0275184504168824e-04 1.4822599972153910e+01
1.9748828170750000e+14 9.8977653481132716e-05 1.5000262983637235e+01
